Name,Latitude,Longitude,State,url
Acadia,44.35,-68.216667,Maine,http://www.nps.gov/acad/index.htm
American Samoa,-14.258333,-170.683333,American Samoa,http://www.nps.gov/npsa/index.htm
Arches,38.683333,-109.566667,Utah,http://www.nps.gov/arch/index.htm
Badlands,43.75,-102.5,South Dakota,http://www.nps.gov/badl/index.htm
Big Bend,29.25,-103.25,Texas,http://www.nps.gov/bibe/index.htm
Biscayne,25.65,-80.083333,Florida,http://www.nps.gov/bisc/index.htm
Black Canyon of the Gunnison,38.566667,-107.716667,Colorado,http://www.nps.gov/blca/index.htm
Bryce Canyon,37.566667,-112.183333,Utah,http://www.nps.gov/brca/index.htm
Canyonlands,38.2,-109.933333,Utah,http://www.nps.gov/cany/index.htm
Capitol Reef,38.2,-111.166667,Utah,http://www.nps.gov/care/index.htm
Carlsbad Caverns,32.175278,-104.443889,New Mexico,http://www.nps.gov/cave/index.htm
Channel Islands,34.008333,-119.416667,California,http://www.nps.gov/chis/index.htm
Congaree,33.783333,-80.783333,South Carolina,http://www.nps.gov/cong/index.htm
Crater Lake,42.941517,-122.15114,Oregon,http://www.nps.gov/crla/index.htm
Cuyahoga Valley,41.241667,-81.549722,Ohio,http://www.nps.gov/cuva/index.htm
Death Valley,36.241944,-116.825833,"California, Nevada",http://www.nps.gov/deva/index.htm
Denali,63.333333,-150.5,Alaska,http://www.nps.gov/dena/index.htm
Dry Tortugas,24.628611,-82.873333,Florida,http://www.nps.gov/drto/index.htm
Everglades,25.316667,-80.933333,Florida,http://www.nps.gov/ever/index.htm
Gates of the Arctic,67.783333,-153.3,Alaska,http://www.nps.gov/gaar/index.htm
Glacier,48.8,-114,Montana,http://www.nps.gov/glac/index.htm
Glacier Bay,58.5,-137,Alaska,http://www.nps.gov/glba/index.htm
Grand Canyon,36.0575,-112.1375,Arizona,http://www.nps.gov/grca/index.htm
Grand Teton,43.733333,-110.803333,Wyoming,http://www.nps.gov/grte/index.htm
Great Basin,38.983333,-114.3,Nevada,http://www.nps.gov/grba/index.htm
Great Sand Dunes,37.73287,-105.51212,Colorado,http://www.nps.gov/grsa/index.htm
Great Smoky Mountains,35.683333,-83.533333,"North Carolina, Tennessee",http://www.nps.gov/grsm/index.htm 
Guadalupe Mountains,31.916667,-104.866667,Texas,http://www.nps.gov/gumo/index.htm
Haleakala,20.716667,-156.166667,Hawaii,http://www.nps.gov/hale/index.htm
Hawaii Volcanoes,19.383333,-155.2,Hawaii,http://www.nps.gov/havo/index.htm
Hot Springs,34.513611,-93.053611,Arkansas,http://www.nps.gov/hosp/index.htm
Isle Royale,48.1,-88.55,Michigan,http://www.nps.gov/isro/index.htm
Joshua Tree,33.788394,-115.898222,California,http://www.nps.gov/jotr/index.htm
Katmai,58.5,-155,Alaska,http://www.nps.gov/katm/index.htm
Kenai Fjords,59.916667,-149.65,Alaska,http://www.nps.gov/kefj/index.htm
Kings Canyon,36.8,-118.55,California,http://www.nps.gov/seki/index.htm
Kobuk Valley,67.55,-159.283333,Alaska,http://www.nps.gov/kova/index.htm
Lake Clark,60.966667,-153.416667,Alaska,http://www.nps.gov/lacl/index.htm
Lassen Volcanic,40.488056,-121.505,California,http://www.nps.gov/lavo/index.htm
Mammoth Cave,37.183333,-86.1,Kentucky,http://www.nps.gov/maca/index.htm
Mesa Verde,37.183784,-108.488687,Colorado,http://www.nps.gov/meve/index.htm
Mount Rainier,46.85,-121.75,Washington,http://www.nps.gov/mora/index.htm
North Cascades,48.7,-121.2,Washington,http://www.nps.gov/noca/index.htm
Olympic,47.969444,-123.498333,Washington,http://www.nps.gov/olym/index.htm
Petrified Forest,35.066111,-109.780833,Arizona,http://www.nps.gov/pefo/index.htm
Redwood,41.166667,-123.983333,California,http://www.nps.gov/redw/index.htm
Rocky Mountain,40.4,-105.583333,Colorado,http://www.nps.gov/romo/index.htm
Saguaro,32.25,-110.5,Arizona,http://www.nps.gov/sagu/index.htm
Sequoia,36.433333,-118.683333,California,http://www.nps.gov/seki/index.htm
Shenandoah,38.533333,-78.35,Virginia,http://www.nps.gov/shen/index.htm
Theodore Roosevelt,46.966667,-103.45,North Dakota,http://www.nps.gov/thro/index.htm
Virgin Islands,18.333333,-64.733333,U.S. Virgin Islands,http://www.nps.gov/viis/index.htm
Voyageurs,48.5,-92.883333,Minnesota,http://www.nps.gov/voya/index.htm
Wind Cave,43.566667,-103.483333,South Dakota,http://www.nps.gov/wica/index.htm
Wrangell-St. Elias,61,-142,Alaska,http://www.nps.gov/wrst/index.htm
Yellowstone,44.6,-110.5,"Idaho, Montana, Wyoming",http://www.nps.gov/yell/index.htm 
Yosemite,37.833333,-119.5,California,http://www.nps.gov/yose/index.htm
Zion,37.3,-113.05,Utah,http://www.nps.gov/zion/index.htm
